33490,15:1,الر,Alif Laam Ra.
33491,15:1,تِلْكَ,These
33492,15:1,ءَايَاتُ,(are) the Verses
33493,15:1,الْكِتَابِ,(of) the Book
33494,15:1,وَقُرْءَانٍ,and Quran
33495,15:1,مُبِينٍ,clear.
33496,15:2,رُبَمَا,Perhaps
33497,15:2,يَوَدُّ,will wish
33498,15:2,الَّذِينَ,those who
33499,15:2,كَفَرُوا,"disbelieved,"
33500,15:2,لَوْ,if
33501,15:2,كَانُوا,they had been
33502,15:2,مُسْلِمِينَ,Muslims.
33503,15:3,ذَرْهُمْ,Leave them
33504,15:3,يَأْكُلُوا,(to) eat
33505,15:3,وَيَتَمَتَّعُوا,and enjoy
33506,15:3,وَيُلْهِهِمُ,and diverted them
33507,15:3,الْأَمَلُ,"the hope,"
33508,15:3,فَسَوْفَ,then soon
33509,15:3,يَعْلَمُونَ,they will come to know.
33510,15:4,وَمَا,And not
33511,15:4,أَهْلَكْنَا,We destroyed
33512,15:4,مِنْ,any
33513,15:4,قَرْيَةٍ,town
33514,15:4,إِلَّا,but
33515,15:4,وَلَهَا,(there was) for it
33516,15:4,كِتَابٌ,a decree
33517,15:4,مَعْلُومٌ,known.
33518,15:5,مَا,Not
33519,15:5,تَسْبِقُ,(can) advance
33520,15:5,مِنْ,any
33521,15:5,أُمَّةٍ,nation
33522,15:5,أَجَلَهَا,its term
33523,15:5,وَمَا,and not
33524,15:5,يَسْتَءْخِرُونَ,(can) delay it.
33525,15:6,وَقَالُوا,"And they say,"
33526,15:6,يَاأَيُّهَا,"""O you"
33527,15:6,الَّذِي,(to) whom
33528,15:6,نُزِّلَ,has been sent down
33529,15:6,عَلَيْهِ,[on him]
33530,15:6,الذِّكْرُ,"the Reminder,"
33531,15:6,إِنَّكَ,"indeed, you"
33532,15:6,لَمَجْنُونٌ,(are) surely mad.
33533,15:7,لَوْ,Why
33534,15:7,مَا,not
33535,15:7,تَأْتِينَا,you bring to us
33536,15:7,بِالْمَلَائِكَةِ,"the Angels,"
33537,15:7,إِنْ,if
33538,15:7,كُنْتَ,you are
33539,15:7,مِنَ,of
33540,15:7,الصَّادِقِينَ,"the truthful?"""
33541,15:8,مَا,Not
33542,15:8,نُنَزِّلُ,We send down
33543,15:8,الْمَلَائِكَةَ,the Angels
33544,15:8,إِلَّا,except
33545,15:8,بِالْحَقِّ,with the truth;
33546,15:8,وَمَا,and not
33547,15:8,كَانُوا,they would be
33548,15:8,إِذًا,then
33549,15:8,مُنْظَرِينَ,given respite.
33550,15:9,إِنَّا,"Indeed, We"
33551,15:9,نَحْنُ,We
33552,15:9,نَزَّلْنَا,have sent down
33553,15:9,الذِّكْرَ,"the Reminder,"
33554,15:9,وَإِنَّا,"and indeed, We"
33555,15:9,لَهُ,of it
33556,15:9,لَحَافِظُونَ,(are) surely Guardians.
33557,15:10,وَلَقَدْ,And certainly
33558,15:10,أَرْسَلْنَا,We (had) sent
33559,15:10,مِنْ,before you
33560,15:10,قَبْلِكَ,before you
33561,15:10,فِي,in
33562,15:10,شِيَعِ,the sects
33563,15:10,الْأَوَّلِينَ,(of) the former (people).
33564,15:11,وَمَا,And not
33565,15:11,يَأْتِيهِمْ,came to them
33566,15:11,مِنْ,any
33567,15:11,رَسُولٍ,Messenger
33568,15:11,إِلَّا,but
33569,15:11,كَانُوا,they did
33570,15:11,بِهِ,at him
33571,15:11,يَسْتَهْزِءُونَ,mock.
33572,15:12,كَذَلِكَ,Thus
33573,15:12,نَسْلُكُهُ,We let it enter
33574,15:12,فِي,in
